cod_prod;nome_abrev;nome_completo;descricao;categoria;sub_categoria;marca;conteudo_valor;conteudo_medida
603078352615;Acne Solutions Cleansing Bar;Acne Solutions Cleansing Bar for Face & Body;Sabonete líquido Clinique Acne Solutions Cleansing Bar for Face & Body  para Corpo;Corpo;Sabonete líquido;Clinique;156.0;ml
131384024501;Pep Start Daily UV;Pep Start Daily UV Protector Broad Spectrum SPF 50;Protetor solar Clinique Pep Start Daily UV Protector Broad Spectrum SPF 50  para Corpo;Corpo;Protetor solar;Clinique;30.0;ml
85873708529;Deep Comfort Body Wash;Deep Comfort Body Wash;Sabonete líquido Clinique Deep Comfort Body Wash  para Corpo;Corpo;Sabonete líquido;Clinique;204.0;ml
579926605113;Lipikar Wash Gentle Foaming;Lipikar Wash AP+ Gentle Foaming Moisturizing Wash;Sabonete líquido La Roche-Posay Lipikar Wash AP+ Gentle Foaming Moisturizing Wash  para Corpo;Corpo;Sabonete líquido;La Roche-Posay;405.0;ml
397769055946;Anthelios AOX Daily Antioxidant;Anthelios AOX Daily Antioxidant Face Serum SPF 50;Protetor solar La Roche-Posay Anthelios AOX Daily Antioxidant Face Serum SPF 50  para Corpo;Corpo;Protetor solar;La Roche-Posay;30.0;ml
981647487600;Basil White Tea Body;Basil & White Tea Body Wash;Sabonete líquido Nivea Basil & White Tea Body Wash  para Corpo;Corpo;Sabonete líquido;Nivea;600.0;ml
961991632239;Nourishing Care Body Wash;Nourishing Care Body Wash;Sabonete líquido Nivea Nourishing Care Body Wash  para Corpo;Corpo;Sabonete líquido;Nivea;600.0;ml
944594347397;Botanical Blossom Body Wash;Botanical Blossom Body Wash;Sabonete líquido Nivea Botanical Blossom Body Wash  para Corpo;Corpo;Sabonete líquido;Nivea;600.0;ml
361703171610;Hemp Hydrating Protecting Shower;Hemp Hydrating & Protecting Shower Oil;Sabonete líquido The Body Shop Hemp Hydrating & Protecting Shower Oil  para Corpo;Corpo;Sabonete líquido;The Body Shop;252.0;ml
185689609888;Lavender Vetiver Sleep Relaxing;Lavender & Vetiver Sleep Relaxing Hair & Body Wash;Sabonete líquido The Body Shop Lavender & Vetiver Sleep Relaxing Hair & Body Wash  para Corpo;Corpo;Sabonete líquido;The Body Shop;201.0;ml
